id,hr_relevance,hr_complexity,hr_clarity,hr_creativity,gr_relevance,gr_complexity,gr_clarity,gr_creativity,hr_score,gr_score
70,5,2,0,5,9,7,10,5,12,31
1,8,2,6,3,8,4,10,2,19,24
31,8,3,9,2,8,2,10,2,22,22
31,9,2,10,1,8,2,10,2,22,22
98,8,2,9,3,10,0,10,0,22,20
86,8,3,10,2,8,5,10,2,23,25
43,8,2,9,4,10,2,10,2,23,24
30,8,4,9,3,10,2,10,0,24,22
5,9,5,7,3,10,5,10,0,24,25
67,10,2,10,2,8,2,10,2,24,22
22,10,2,10,2,8,5,10,2,24,25
16,10,2,8,4,8,4,10,2,24,24
87,8,4,9,4,8,4,10,2,25,24
28,10,2,10,3,10,5,10,2,25,27
29,10,2,10,3,10,5,10,2,25,27
54,10,3,10,2,10,7,10,0,25,27
98,10,2,10,3,10,0,10,0,25,20
93,7,3,10,5,8,2,10,2,25,22
92,9,2,10,4,8,2,10,2,25,22
78,10,2,10,3,10,2,10,0,25,22
33,10,2,10,3,8,2,10,2,25,22
32,10,2,10,3,10,5,10,2,25,27
3,10,2,9,4,8,2,10,2,25,22
72,10,2,10,3,8,4,10,2,25,24
17,10,2,10,3,10,2,10,0,25,22
76,7,4,10,5,10,5,10,2,26,27
26,10,3,10,3,8,5,10,2,26,25
81,10,2,10,4,8,4,10,2,26,24
71,9,3,8,6,10,8,10,4,26,32
85,10,2,10,4,8,4,10,2,26,24
84,10,2,10,4,8,5,10,2,26,25
52,9,4,10,3,8,7,10,4,26,29
99,10,2,10,4,10,2,10,2,26,24
37,10,2,10,4,10,6,10,2,26,28
36,9,2,10,5,10,8,10,2,26,30
23,9,3,10,4,8,5,10,2,26,25
89,10,2,10,4,8,2,10,2,26,22
32,10,2,10,4,10,5,10,2,26,27
88,10,2,10,4,10,2,10,2,26,24
97,10,3,10,4,10,2,10,1,27,23
69,10,3,10,4,10,7,10,2,27,29
68,10,3,10,4,8,5,10,2,27,25
53,9,4,10,4,8,5,10,2,27,25
67,10,2,10,5,10,2,10,0,27,22
79,10,3,10,4,10,2,10,0,27,22
34,10,3,10,4,8,2,10,2,27,22
91,9,2,10,6,8,2,10,2,27,22
7,10,2,10,5,8,5,10,2,27,25
4,10,3,10,4,8,2,10,4,27,24
8,10,3,10,4,2,2,10,2,27,16
11,10,3,10,4,8,4,10,2,27,24
56,8,5,10,5,8,5,10,2,28,25
57,8,5,10,5,8,2,10,2,28,22
38,10,4,10,4,10,2,10,0,28,22
80,9,3,10,6,8,2,10,2,28,22
24,10,2,10,6,8,4,10,2,28,24
45,8,4,10,6,8,4,10,2,28,24
6,9,6,8,5,7,3,10,1,28,21
9,9,5,10,4,8,4,10,2,28,24
69,10,3,10,5,8,6,10,2,28,26
55,10,4,9,5,8,6,10,2,28,26
73,10,3,10,5,8,5,10,2,28,25
13,10,3,10,5,8,4,10,2,28,24
96,10,5,10,4,8,2,10,2,29,22
61,10,6,9,4,8,2,10,2,29,22
95,10,5,10,4,8,6,10,2,29,26
48,7,6,9,7,8,4,10,2,29,24
82,10,4,10,5,8,5,9,2,29,24
27,10,4,10,5,8,5,10,2,29,25
83,10,4,10,5,8,5,10,2,29,25
26,10,4,10,5,8,5,10,2,29,25
54,10,4,10,5,8,4,10,2,29,24
42,10,3,10,6,8,2,10,1,29,21
35,10,3,10,6,10,5,10,0,29,25
41,8,6,10,6,8,5,10,2,30,25
41,8,6,10,6,10,8,10,2,30,30
47,8,6,10,6,8,4,10,2,30,24
46,8,6,10,6,7,3,10,2,30,22
49,8,6,10,6,8,4,10,2,30,24
21,9,5,10,6,8,5,10,2,30,25
25,10,5,10,5,10,3,10,1,30,24
10,9,5,10,6,8,6,10,2,30,26
66,10,5,10,5,10,2,10,0,30,22
62,10,5,10,5,8,5,10,2,30,25
60,10,4,10,7,8,4,10,2,31,24
39,9,6,10,6,8,5,10,2,31,25
62,9,6,10,6,8,6,10,2,31,26
93,10,5,10,6,8,2,10,2,31,22
90,10,5,10,6,8,4,10,2,31,24
12,10,5,10,6,1,1,10,1,31,13
58,10,5,10,6,7,2,10,0,31,19
58,10,5,10,6,7,3,10,2,31,22
40,10,6,10,6,8,6,10,2,32,26
64,9,7,10,6,10,6,10,2,32,28
20,10,5,10,7,8,3,10,2,32,23
44,10,5,10,7,7,5,10,2,32,24
75,10,6,10,6,8,4,10,2,32,24
64,10,7,10,6,10,8,10,5,33,33
49,10,6,10,7,8,4,10,2,33,24
0,10,6,10,7,10,2,10,2,33,24
14,10,7,10,6,8,6,10,4,33,28
63,10,6,10,7,8,6,9,2,33,25
74,10,6,10,7,8,4,10,2,33,24
65,10,8,10,6,8,6,10,2,34,26
95,10,7,10,7,8,5,10,2,34,25
77,10,6,10,8,10,4,10,2,34,26
50,10,7,10,7,8,6,10,4,34,28
2,10,7,9,8,10,5,10,2,34,27
18,10,7,10,7,8,6,10,4,34,28
19,10,7,10,7,8,6,9,2,34,25
59,10,7,10,7,8,4,10,2,34,24
15,10,8,10,7,8,6,9,4,35,27
